lcl|PEKT02000007.1_mrna_1	B9J08_002585
lcl|PEKT02000007.1_trna_2	B9J08_002586
lcl|PEKT02000007.1_mrna_3	B9J08_002587
lcl|PEKT02000007.1_mrna_4	B9J08_002588
lcl|PEKT02000007.1_mrna_5	B9J08_002589
lcl|PEKT02000007.1_mrna_6	B9J08_002590
lcl|PEKT02000007.1_mrna_7	B9J08_002591
lcl|PEKT02000007.1_mrna_8	B9J08_002592
lcl|PEKT02000007.1_mrna_9	B9J08_002593
lcl|PEKT02000007.1_mrna_10	B9J08_002594
lcl|PEKT02000007.1_mrna_11	B9J08_002595
lcl|PEKT02000007.1_mrna_12	B9J08_002596
lcl|PEKT02000007.1_mrna_13	B9J08_002597
lcl|PEKT02000007.1_mrna_14	B9J08_002598
lcl|PEKT02000007.1_mrna_15	B9J08_002599
lcl|PEKT02000007.1_mrna_16	B9J08_002600
lcl|PEKT02000007.1_mrna_17	B9J08_002601
lcl|PEKT02000007.1_mrna_18	B9J08_002602
lcl|PEKT02000007.1_mrna_19	B9J08_002603
lcl|PEKT02000007.1_mrna_20	B9J08_002604
lcl|PEKT02000007.1_mrna_21	B9J08_002605
lcl|PEKT02000007.1_mrna_22	B9J08_002606
lcl|PEKT02000007.1_mrna_23	B9J08_002607
lcl|PEKT02000007.1_mrna_24	B9J08_002608
lcl|PEKT02000007.1_mrna_25	B9J08_002609
lcl|PEKT02000007.1_mrna_26	B9J08_002610
lcl|PEKT02000007.1_mrna_27	B9J08_002611
lcl|PEKT02000007.1_mrna_28	B9J08_002612
lcl|PEKT02000007.1_mrna_29	B9J08_002613
lcl|PEKT02000007.1_mrna_30	B9J08_002614
lcl|PEKT02000007.1_mrna_31	B9J08_002615
lcl|PEKT02000007.1_mrna_32	B9J08_002616
lcl|PEKT02000007.1_mrna_33	B9J08_002617
lcl|PEKT02000007.1_mrna_34	B9J08_002618
lcl|PEKT02000007.1_mrna_35	B9J08_002619
lcl|PEKT02000007.1_mrna_36	B9J08_002620
lcl|PEKT02000007.1_mrna_37	B9J08_002621
lcl|PEKT02000007.1_mrna_38	B9J08_002622
lcl|PEKT02000007.1_mrna_39	B9J08_002623
lcl|PEKT02000007.1_mrna_40	B9J08_002624
lcl|PEKT02000007.1_trna_41	B9J08_002625
lcl|PEKT02000007.1_mrna_42	B9J08_002626
lcl|PEKT02000007.1_mrna_43	B9J08_002627
lcl|PEKT02000007.1_mrna_44	B9J08_002628
lcl|PEKT02000007.1_mrna_45	B9J08_002629
lcl|PEKT02000007.1_mrna_46	B9J08_002630
lcl|PEKT02000007.1_mrna_47	B9J08_002631
lcl|PEKT02000007.1_mrna_48	B9J08_002632
lcl|PEKT02000007.1_mrna_49	B9J08_002633
lcl|PEKT02000007.1_mrna_50	B9J08_002634
lcl|PEKT02000007.1_mrna_51	B9J08_002635
lcl|PEKT02000007.1_mrna_52	B9J08_002636
lcl|PEKT02000007.1_mrna_53	B9J08_002637
lcl|PEKT02000007.1_mrna_54	B9J08_002638
lcl|PEKT02000007.1_mrna_55	B9J08_002639
lcl|PEKT02000007.1_mrna_56	B9J08_002640
lcl|PEKT02000007.1_mrna_57	B9J08_002641
lcl|PEKT02000007.1_mrna_58	B9J08_002642
lcl|PEKT02000007.1_mrna_59	B9J08_002643
lcl|PEKT02000007.1_mrna_60	B9J08_002644
